caption,token_file
"The wind is blowing, insects are singing, and rustling occurs",clip_0.pt
The wind is blowing and rustling occurs,clip_1.pt
Crashing waves and a gust of wind,clip_2.pt
Honking of a horn of a passing train,clip_3.pt
Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble,clip_5.pt
Strong wind against the microphone simultaneously with heavy rain.,clip_6.pt
"The wind is blowing, a horse is trotting, and an adult male speaks",clip_8.pt
The chirping of multiple birds accompanies gurgling water and crunching footsteps,clip_9.pt
A door creaks open slowly,clip_10.pt
"Water flowing, wind blowing, a dog whimpers",clip_11.pt
"The wind is blowing, an engine runs, and tires squeal",clip_12.pt
A train hiss loudly,clip_13.pt
A man speaking followed by glass shuffling then wood clanking before glass clanks proceeded by liquid pouring into a container,clip_14.pt
A train engine is running and rhythmically chugging,clip_15.pt
"People talking in foreign language, train horn",clip_16.pt
Loud wind noises and a car horn and a person talking at the end,clip_18.pt
A train is blowing its horn as it passes by,clip_19.pt
A bell is ringing and a train blows its horn twice long and hard,clip_20.pt
As the wind blows steadily a bird sings and an engine goes by,clip_21.pt
Train horn tooting multiple times,clip_22.pt
Rain hitting the roof,clip_23.pt
A door is sliding open,clip_24.pt
"A man speaking in the distance with traffic passing in the distance, then a man speaks nearby and a door opens",clip_25.pt
A train horn sounds then someone laughs,clip_26.pt
"A distant train horn, followed by the clickety-clank of the train on the rail",clip_27.pt
Wind blows and birds tweet,clip_28.pt
Wind is blowing and woman is laughing,clip_29.pt
Wind blows in a tunnel,clip_30.pt
"A man talks nearby, followed by a door closing, after which the man continues to talk",clip_31.pt
The sound of dried leaves rubbing against one another in response to being moved by the wind or another cause,clip_32.pt
A toilet flushing away water while a bathroom stall door makes noise,clip_33.pt
A person talks nearby as an engine idles nearby and wind blows,clip_34.pt
Wind blowing hard followed by two men talking in distant ending with a frog croaking,clip_35.pt
A door opens up nearby,clip_36.pt
A machine works while wind blows strongly followed by a siren being triggered,clip_37.pt
Wind blows and people laugh followed by a horse neighing,clip_38.pt
Wind is blowing and dog is panting and whimpering gently,clip_39.pt
Wind blowing in a microphone and a group of people talking,clip_40.pt
Engine idling quietly with light wind,clip_41.pt
Vehicles pass and the wind blows,clip_42.pt
A bell rings and a train passes nearby,clip_43.pt
Wind blows strongly while people talk far away,clip_44.pt
Wind blowing followed by wood cracking,clip_45.pt
Water runs and bells ring while wind blows and a goat bleats,clip_46.pt
A man speaks as the wind blows followed by a motorboat traveling and the engine accelerates,clip_47.pt
Wind blowing while a helicopters' engine runs,clip_48.pt
Several motorcycles race with engines humming and wind blowing,clip_49.pt
Loud wind noises with someone talking and laughing,clip_51.pt
A man speaking as a ball bounces on a hard surface in the background with wind blowing into a microphone,clip_52.pt
A man speaks and then wind blows and a woman speaks,clip_53.pt
Leaves blowing in the wind,clip_54.pt
"An airplane propeller spins loudly, and then a person bangs on a window multiple times",clip_55.pt
Heavy wind and footsteps,clip_56.pt
A toilet flushes and a door opens,clip_57.pt
Birds chirping and insects buzzing while wind blows in a microphone,clip_58.pt
Two women talking and laughing followed by a door banging softly as a door creaks repeatedly,clip_59.pt
A man speaking as a bird tweets and a chicken clucks while water splashes and wind blows into a microphone,clip_60.pt
A train revving up and horn honking,clip_61.pt
Someone talks with voice on fast forward effect followed by a door opening,clip_62.pt
"A car accelerates loudly several times, followed by footsteps",clip_63.pt
"A crashing roar occurs, the wind is blowing, then motor vehicle engines are running",clip_65.pt
Wind blowing with hissing and people speaking in the distance,clip_66.pt
A man talking followed by a child talking in the distance as footsteps walk on gravel and birds chirp in the background,clip_67.pt
Footsteps and then a door is slammed,clip_68.pt
"Thunder rumbling, rain drops, a beeping noise, and then a piano",clip_69.pt
"The wind is blowing, insects are chirping, and rustling is present",clip_70.pt
"A car speeds up, wind rushes by",clip_71.pt
Door sound with woman chuckling,clip_72.pt
Traffic and car horns are in the background while an emergency vehicle blasts a series of sirens followed by wind and travel noise,clip_74.pt
Wind is blowing hard and a man is speaking over the wind,clip_75.pt
A man speaking over an intercom as wind lightly blows into a microphone,clip_76.pt
"A very loud train horn blaring in the distance, and getting closer']}]",clip_77.pt
A windy day and a man speaking in the distance,clip_78.pt
A man talking while the wind blows on the microphone and bees buzz,clip_80.pt
"A machine that is running, tapping and making winding noises",clip_81.pt
"A door closes, and a man talks",clip_82.pt
Waves are splashing and wind is blowing,clip_83.pt
