caption,audio_filename
"The wind is blowing, insects are singing, and rustling occurs",clip_0.wav
The wind is blowing and rustling occurs,clip_1.wav
Crashing waves and a gust of wind,clip_2.wav
Honking of a horn of a passing train,clip_3.wav
Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble,clip_5.wav
Strong wind against the microphone simultaneously with heavy rain.,clip_6.wav
"The wind is blowing, a horse is trotting, and an adult male speaks",clip_8.wav
The chirping of multiple birds accompanies gurgling water and crunching footsteps,clip_9.wav
A door creaks open slowly,clip_10.wav
"Water flowing, wind blowing, a dog whimpers",clip_11.wav
"The wind is blowing, an engine runs, and tires squeal",clip_12.wav
A train hiss loudly,clip_13.wav
A man speaking followed by glass shuffling then wood clanking before glass clanks proceeded by liquid pouring into a container,clip_14.wav
A train engine is running and rhythmically chugging,clip_15.wav
"People talking in foreign language, train horn",clip_16.wav
Loud wind noises and a car horn and a person talking at the end,clip_18.wav
A train is blowing its horn as it passes by,clip_19.wav
A bell is ringing and a train blows its horn twice long and hard,clip_20.wav
As the wind blows steadily a bird sings and an engine goes by,clip_21.wav
Train horn tooting multiple times,clip_22.wav
Rain hitting the roof,clip_23.wav
A door is sliding open,clip_24.wav
"A man speaking in the distance with traffic passing in the distance, then a man speaks nearby and a door opens",clip_25.wav
A train horn sounds then someone laughs,clip_26.wav
"A distant train horn, followed by the clickety-clank of the train on the rail",clip_27.wav
Wind blows and birds tweet,clip_28.wav
Wind is blowing and woman is laughing,clip_29.wav
Wind blows in a tunnel,clip_30.wav
"A man talks nearby, followed by a door closing, after which the man continues to talk",clip_31.wav
The sound of dried leaves rubbing against one another in response to being moved by the wind or another cause,clip_32.wav
A toilet flushing away water while a bathroom stall door makes noise,clip_33.wav
A person talks nearby as an engine idles nearby and wind blows,clip_34.wav
Wind blowing hard followed by two men talking in distant ending with a frog croaking,clip_35.wav
A door opens up nearby,clip_36.wav
A machine works while wind blows strongly followed by a siren being triggered,clip_37.wav
Wind blows and people laugh followed by a horse neighing,clip_38.wav
Wind is blowing and dog is panting and whimpering gently,clip_39.wav
Wind blowing in a microphone and a group of people talking,clip_40.wav
Engine idling quietly with light wind,clip_41.wav
Vehicles pass and the wind blows,clip_42.wav
A bell rings and a train passes nearby,clip_43.wav
Wind blows strongly while people talk far away,clip_44.wav
Wind blowing followed by wood cracking,clip_45.wav
Water runs and bells ring while wind blows and a goat bleats,clip_46.wav
A man speaks as the wind blows followed by a motorboat traveling and the engine accelerates,clip_47.wav
Wind blowing while a helicopters' engine runs,clip_48.wav
Several motorcycles race with engines humming and wind blowing,clip_49.wav
Loud wind noises with someone talking and laughing,clip_51.wav
A man speaking as a ball bounces on a hard surface in the background with wind blowing into a microphone,clip_52.wav
A man speaks and then wind blows and a woman speaks,clip_53.wav
Leaves blowing in the wind,clip_54.wav
"An airplane propeller spins loudly, and then a person bangs on a window multiple times",clip_55.wav
Heavy wind and footsteps,clip_56.wav
A toilet flushes and a door opens,clip_57.wav
Birds chirping and insects buzzing while wind blows in a microphone,clip_58.wav
Two women talking and laughing followed by a door banging softly as a door creaks repeatedly,clip_59.wav
A man speaking as a bird tweets and a chicken clucks while water splashes and wind blows into a microphone,clip_60.wav
A train revving up and horn honking,clip_61.wav
Someone talks with voice on fast forward effect followed by a door opening,clip_62.wav
"A car accelerates loudly several times, followed by footsteps",clip_63.wav
"A crashing roar occurs, the wind is blowing, then motor vehicle engines are running",clip_65.wav
Wind blowing with hissing and people speaking in the distance,clip_66.wav
A man talking followed by a child talking in the distance as footsteps walk on gravel and birds chirp in the background,clip_67.wav
Footsteps and then a door is slammed,clip_68.wav
"Thunder rumbling, rain drops, a beeping noise, and then a piano",clip_69.wav
"The wind is blowing, insects are chirping, and rustling is present",clip_70.wav
"A car speeds up, wind rushes by",clip_71.wav
